P_ID,TIMESTAMP,NDVI,EVI,IRECI
40274709,2020-07-29,0.8397916,0.54416174,0.9429331
40274709,2020-08-08,0.83631396,0.58310086,0.79041463
40274709,2020-08-13,0.7610475,0.59192944,0.73504996
40274709,2020-09-12,0.8177122,0.4694915,0.55820745
40274709,2020-11-06,0.44761905,0.070289135,0.055073965
40274709,2020-11-21,0.7278106,0.11608154,0.06829033
40274709,2021-02-24,0.33702096,0.17463763,0.102284275
40274709,2021-03-01,0.42089552,0.06619718,0.057337884
40274709,2021-03-26,0.44522145,0.13301453,0.07839575
40274709,2021-03-31,0.51488423,0.21142702,0.12051266
40274709,2021-04-05,0.4933435,0.2738251,0.13552795
40274709,2021-04-10,0.42489776,0.28600654,0.1717749
40274709,2021-04-25,0.4831169,0.22958237,0.15067326
40274709,2021-05-10,0.7077902,0.4727103,0.38712335
40274709,2021-06-04,0.7587524,0.5087712,0.6045577
40274709,2021-06-09,0.83667743,0.789683,1.2133228
40274709,2021-06-14,0.88464904,0.75984174,1.3795518
40274709,2021-06-19,0.81701964,0.74452984,1.282104
40274709,2021-06-24,0.7957549,0.7542801,1.1871018
40274709,2021-06-29,0.8471338,0.70781034,1.3346039
40274709,2021-07-09,0.8665777,0.737677,1.3433329
40274709,2021-07-14,0.83481205,0.7821716,1.3435915
40274709,2021-07-19,0.8334871,0.6879355,1.2740201
40274709,2021-07-29,0.86220014,0.69089603,1.1513671
40274709,2021-08-18,0.8511856,0.6143284,1.0116049
40274709,2021-09-02,0.8571847,0.6050652,0.8926015
40274709,2021-09-07,0.8553346,0.63607025,0.8931507
40274709,2021-09-12,0.82170546,0.5390516,0.76939154
40274709,2021-10-17,0.7806042,0.33222067,0.33318695
40274709,2021-10-27,0.6097859,0.21007164,0.18220542
40274709,2021-11-11,0.40255487,0.25502154,0.14946586
40275837,2017-03-12,0.62902534,0.27716818,0.15793851
40275837,2017-04-01,0.5797753,0.2997676,0.17159186
40275837,2017-04-11,0.6255707,0.51207775,0.2784213
40275837,2017-04-21,0.7650116,0.49223566,0.39498731
40275837,2017-05-21,0.9325592,0.7182416,1.1884681
40275837,2017-05-31,0.9224066,0.739644,1.3689619
40275837,2017-06-10,0.94031197,0.72618383,1.5257715
40275837,2017-06-20,0.8972385,0.71241146,1.3524078
40275837,2017-07-05,0.8748867,0.7337287,1.2152373
40275837,2017-07-10,0.615565,0.4706599,0.48297632
40275837,2017-07-15,0.8940719,0.7023705,1.2423049
